Name of Detention Center,Address,Lat,Long,Type of facility,Name of Operator,Zip Code,County,State,County Population,Confirmed COVID Cases in County,Confirmed COVID Deaths in County,Cases per 1000 people in County,Deaths per 1000 people in County,Total Capacity,Average Daily Population (all inmates/detainees),Number current ICE detainees,Number current non-ICE detainees,Tests Y/N,News Article,Link,3-Apr-2020,4-Apr-2020,7-Apr-2020,8-Apr-2020,9-Apr-2020,10-Apr-2020,13-Apr-2020,14-Apr-2020,15--Apr-2020,16-Apr-2020,17-Apr-2020,20-Apr-2020,21-Apr-2020,22-Apr-2020,23-Apr-2020,24-Apr-2020,27-Apr-2020,28-Apr-2020,29-Apr-2020,30-Apr-2020,1-May-2020,2-May-2020,3-May-2020,4-May-2020,5-May-2020,6-May-2020,7-May-2020,8-May-2020,USMS positive detainees (non-ICE),Employee COVID Cases,Confirmed COVID cases (staff + ICE + non-ICE),Deaths,,,,,,,,,,,,,,,,,,,,,,
Henderson County Detention Center,"206 N Murchison St, Athens, TX 75751",32.20721647,-95.84658136,USMS IGA,County Sheriff Department,75751,Henderson,Texas,78675,25,0,0.32,0.00,,,,,,,https://www.thegleaner.com/story/news/2020/04/28/jail-henderson-rest-kentucky-cutting-inmates-due-coronavirus/3042105001/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Henderson Detention Center,"18 E Basic Rd, Henderson, NV 89015",36.03077442,-114.9782419,USMS IGA,City of Municipality,89015,Clark,Nevada,2027868,3979,202,1.96,0.10,543,503,233,,,ACLU sues to release 2 ICE detainees,https://lasvegassun.com/news/2020/apr/01/citing-virus-risk-aclu-sues-release-henderson-ice/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Houston Contract Detention Facility,"15850 Export Plaza Dr, Houston, TX 77032",29.95083585,-95.31218808,CDF,CoreCivic,77032,Harris,Texas,4336853,6356,114,1.47,0.03,1000,,932,,,,https://www.texasobserver.org/ice-immigrant-detention-centers-coronavirus-positive/,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,11,,2,N/A ,,,,,,,,,,,,,,,,,,,,,,,
Howard County Detention Center,"7301 Waterloo Rd, Jessup, MD 20794",39.16941095,-76.78179079,IGSA,County,20794,Howard,Maryland,304580,867,18,2.85,0.06,398,361,93,,,Released 100 detainees on April 6,https://www.kokomotribune.com/news/covid-19/howard-co-jail-releases-up-to-100-inmates-due-to-covid-19/article_9ce3f34c-7835-11ea-901f-bbe76255662e.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Correctional Facility,"30-35 Hackensack Ave, Kearny, NJ 07032",40.72991,-74.103398,IGSA,County,"""07032",Hudson,New Jersey,660282,14916,798,22.59,1.21,2080,286,250,,,"33-year-old Dominican national, a 22-year-old Salvadoran national, detainees started hunger strike
113 ICE detainees have been released. (4/6) -- As far as coronavirus testing goes, Kennelly said there are 756 people in custody: 203 ICE detainees and 553 inmates. Since March 6th, 38 people in custody have been tested, 36 results have been returned, and 26 tests have come back positive, Kennelly explained. ","https://nj1015.com/ice-reports-covid-19-cases-among-nj-detainees-lets-2-more-go/, https://hudsoncountyview.com/county-jail-covid-19-update-4th-worker-dies-26-in-custody-tested-positive-87-cos-self-isolating/, https://gothamist.com/news/ice-quietly-releases-hundreds-local-immigrants-covid-19",2,2,2,4,5,5,5,5,5,5,5,8,8,8,8,8,8,9,9,10,10,10,10,10,11,11,12,13,,1,84 (4 staffers have died),,,,,,,,,,,,,,,,,,,,,,,
IAH Secure Adult Detention Facility,"3400 FM 350, Livingston, TX 77351",30.6981513,-95.00579154,IGSA,Management & Training Corporation,77351,Polk,Texas,45790,19,0,0.41,0.00,1052,,375,,,Lawsuit to release 1 ICE detainee,https://www.washingtonblade.com/content/files/2020/04/20200427_letter_do-custody-redetermination-letter.pdf,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9,9,12,12,,,1,,,,,,,,,,,,,,,,,,,,,,,
Imperial Regional Detention Facility,"1572 Gateway Rd, Calexico, CA 92231",32.691187,-115.39788,IGSA,City of Municipality,92154,San Diego,California,3211252,3627,140,1.13,0.04,704,,671,,,"Guatemalan tested positive for Covid-19, was held in Imperial and then Florence",https://www.azcentral.com/story/news/politics/immigration/2020/03/31/man-detained-florence-arizona-tests-positive-covid-19-after-deportation/5100810002/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Irwin County Detention Center,"132 Cotton Dr, Ocilla, GA 31774",31.58253639,-83.25667995,USMS IGA,County,31774,Irwin,Georgia,9427,15,1,1.59,0.11,1201,,674,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Harwell Detention Center,"3101 Marlin Hwy, Waco, TX 76705",31.54935325,-97.08142666,USMS IGA,Community Education Centers,76705,McLennan,Texas,241481,89,4,0.37,0.02,200,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Jackson Parish Correctional Center,"327 Industrial Dr, Jonesboro, LA 71251",32.21584492,-92.71783168,IGSA,"LaSalle Management Company, LLC",71251,Jackson,Louisiana,16112,34,2,2.11,0.12,1252,,918,,,"""Notoriously overcrowded""",https://ccrjustice.org/home/press-center/press-releases/medically-vulnerable-immigrants-louisiana-ice-facilities-file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A ,,,,,,,,,,,,,,,,,,,,,,,
James A. Musick Facility,"13502 Musick, Irvine, CA 92618",33.6638122,-117.7054117,IGSA,,92618,Orange,California,3114363,2421,45,0.78,0.01,1250,,1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Jefferson County Justice Center,"911 Casey Avenue, Mount Vernon, IL, 62864",38.314552,-88.90253478,IGSA,County,62864,Jefferson,Illinois,252358,83,12,0.33,0.05,249,,0,,,"ICE mandates private prisons to serve 3 meals a day but to keep costs down, breakfast served at 3:30 AM and meals are sparse or days old, according to current inmate. Once per week, given a tiny soap bar that lats 1 day--the rest of soap needs to be paid for out-of-pocket. ",https://www.thenation.com/article/politics/coronavirus-ice-detention-soap/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Joe Corley Detention Facility,"500 Hilbig Rd, Conroe, TX 77301",30.3359939,-95.44819816,IGSA,"GEO Group, Inc.",77301,Montgomery,Texas,499137,602,12,1.21,0.02,1517,,767,,,,,,,,,,,,,,,,,,,,,,2,5,14,15,15,15,17,21,21,25,25,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Johnson County Detention Center,"1800 Ridgemar Dr, Cleburne, TX 76031",32.3749017,-97.38846453,IGSA,"LaSalle Management Company, LLC",76031,Johnson,Texas,154707,82,4,0.53,0.03,872,,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnes County Correctional Center,"810 Commerce St, Karnes City, TX 78118",28.88348505,-97.91184814,IGSA,"GEO Group, Inc",78118,Karnes,Texas,15081,3,0,0.20,0.00,679,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnes County Residential Center,"409 FM1144, Karnes City, TX 78118",28.886102,-97.911609,IGSA,"GEO Group, Inc",78118,Karnes,Texas,15081,3,0,0.20,0.00,830,,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kay County Detention Center,"1101 W Dry Rd, Newkirk, OK 74647",36.883455,-97.103677,,,74647,Kay,Oklahoma,45633,47,7,1.03,0.15,322,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenosha County Detention Center,"4777 88th Ave, Kenosha, WI 53144",42.59321564,-87.9148965,USMS IGA,County Sheriff Department,53144,Kenosha,Wisconsin,167757,391,12,2.33,0.07,210,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krome Service Processing Center,"18201 SW 12th St, Miami, FL 33194",25.754211,-80.489578,SPC,"Akima Global Services, LLC",33194,Miami-Dade,Florida,2617176,12063,352,4.61,0.13,572,600,238,,Lack of testing ,"8 ICE officials have COVID. 350 detainees in quarantine. In a sworn statement filed in Miami federal court, Liana J. Castano, the acting director in charge of the Krome facility, said eight staff members have tested positive for the virus and that 350 detainees, whom the government has identified as being exposed to the illness are being quarantined together, a practice that U.S. Immigration and Customs Enforcement calls “cohorting.” U.S. District Judge Marcia Cooke said crowded condiitons exposed inmates to COVID, violating constitutional rights, and forcing jail to depopulate to level of 75% capacity. Social distancing at facility impossible. ICE has failed to provide detainees in facilities with masks, soap, and cleaning supplies. Southn Poverty Law Report from 2019: ""While individual pod capacity is supposed to be about 65, some detained individuals estimate there are 100 or more people in their pods, a level that, we were told by a detained person, feels “dangerously overcrowded.”","https://www.miamiherald.com/news/local/immigration/article242171661.html, https://www.npr.org/sections/coronavirus-live-updates/2020/05/01/848681749/federal-judge-orders-ice-to-release-detainees-at-3-florida-facilities, https://www.splcenter.org/sites/default/files/cjr_fla_detention_report-final_1.pdf, https://thehill.com/homenews/administration/493896-eight-ice-staffers-at-miami-detention-center-infected-with-covid-19",,,,,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,7,9,9,9,10,10,10,11,11,,8,,,,,,,,,,,,,,,,,,,,,,,,
La Palma Correctional Center,"5501 N La Palma Rd, Eloy, AZ 85131",32.813763,-111.528043,IGSA,CoreCivic,85131,Pinal,Arizona,389350,397,11,1.02,0.03,3240,2984,1798,,,"La Palma can hold more than 3,000 individuals, according to records, but ICE and CoreCivic – the private company operating the facility – did not provide current figures.",https://www.tucsonsentinel.com/local/report/041420_ice_detention_cv/tensions-skyrocket-as-covid-19-fears-grip-arizona-ice-detention-center/,1,1,2,2,2,2,2,2,2,6,6,13,18,18,18,18,23,24,24,26,29,29,29,30,33,33,36,52,,,,,,,,,,,,,,,,,,,,,,,,,,
La Salle County Regional Detention Center,"832 E, TX-44, Encinal, TX 78019",28.046606,-99.372173,USMS IGA,,78019,La Salle,Texas,7369,1,0,0.14,0.00,250,,0,,,,,,,1,1,1,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laredo Detention Center,"4702 E Saunders St, Laredo, TX 78041",27.5294764,-99.44777311,USMS IGA,,78401,Nueces,Texas,352107,102,3,0.29,0.01,400,,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaSalle ICE Processing Center,"830 Pinehill Rd, Jena, LA 71342",31.70727408,-92.15105963,IGSA,GEO Group,71342,LaSalle,Louisiana,14777,23,0,1.56,0.00,1160,,1100,,,"Foul smell, no access to water and bathrooms, pepper spraying female detainees. “Alex. They just pepper sprayed us in here, and everyone is practically dying from the coughing. We can’t breathe. Help!!!” Marlen messaged her daughter. By the end of the repressive crackdown, guards had pepper sprayed over 70 people, including Marlen. ",https://truthout.org/articles/for-families-divided-by-ice-the-pandemic-compounds-the-nightmare/,,,,,,,,1,1,1,1,1,3,3,3,20,20,7,7,8,10,10,10,10,10,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,
McHenry County Adult Correctional Facility,"2200 N Seminary Ave, Woodstock, IL 60098",42.340517,-88.44064,USMS IGA,County Sheriff Department,60098,McHenry,Illinois,307409,621,34,2.02,0.11,250,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesa Verde ICE Processing Facility,"425 Golden State Ave, Bakersfield, CA 93301",35.3960741,-119.031501,IGSA,"GEO Group, Inc.",93301,Kern,California,864124,910,7,1.05,0.01,400,,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monmouth County Correctional Institution,"1 Waterworks Rd, Freehold, NJ 07728",40.2678459,-74.28692848,IGSA,County Sheriff Department,"""07728",Monmouth,New Jersey,629672,6033,341,9.58,0.54,1328,,0,,,Not sure if there's still ICE inmates here,https://www.app.com/story/news/local/monmouth-county/government/2020/04/08/covid-19-monmouth-county-correctional-institution/2972267001/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Monroe County Jail,"100 E 2nd St #1, Monroe, MI 48161",39.161285,-86.53349,IGSA,,48161,Monroe,Michigan,150376,287,12,1.91,0.08,400,397,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery County Jail,"211 E 3rd St, Montgomery City, MO 63361",38.97905653,-91.50462757,IGSA,County,63361,Montgomery,Missouri,11965,7,0,0.59,0.00,79,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery Processing Center,"806 Hilbig Rd, Conroe, TX 77301",30.33790003,-95.44508645,CDF,"GEO Group, Inc.",77301,Montgomery,Texas,499137,602,12,1.21,0.02,1000,,899,,,,,,,,,,,,,,,,1,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Morrow County Correctional Facility,"101 Home Rd, Mt Gilead, OH 43338",40.5599306,-82.80671785,IGSA,County Sheriff Department,43338,Morrow,Ohio,35033,42,1,1.20,0.03,126,81,46,,,Cases tripled in one day. ,https://abc6onyourside.com/news/local/more-than-50-people-at-morrow-county-correctional-facility-have-covid-19,,,,,,,,,,,,,,,,,1,6,6,6,7,7,7,47,47,47,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,
Natchitoches Parish Detention Center,"299 Edwina Dr, Natchitoches, LA 71457",31.730534,-93.09958,,,71457,Natchitoches,Louisiana,39138,84,4,2.15,0.10,564,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada Southern Detention Center,"2190 E Mesquite Ave, Pahrump, NV 89060",36.24902657,-115.9827748,USMS IGA,CoreCivic,89060,Nye,Nevada,42297,37,0,0.87,0.00,1065,779,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwest Regional Corrections Center/Polk County Jail,"US-75, Crookston, MN 56716",47.7734294,-96.6088863,CDF,"GEO Group, Inc.",56716,Polk,Minnesota,31569,27,0,0.86,0.00,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County Correctional Facility,"110 Wells Farm Rd, Goshen, NY 10924",41.40466912,-74.3574594,IGSA,County Sheriff Department,10924,Orange,New York,375592,8665,237,23.07,0.63,700,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otay Mesa Detention Center,"7488 Calzada De La Fuente, San Diego, CA 92154",32.57652475,-116.9154777,CDF,CoreCivic,92154,San Diego,California,3211252,3627,140,1.13,0.04,1970,1461//987,662,,,"Hunger strikes - Advocates said there have been hunger strikes at the Otay Mesa facility since April 3 with a fluctuating number of participants. On Friday, ICE said there was only one detainee at Otay Mesa who was on a hunger strike after refusing meals on April 6.

","https://www.buzzfeednews.com/article/adolfoflores/immigrant-detainees-ice-coronavirus-outbreaks-jails, https://www.corecivic.com/hubfs/_files/PREA/2018-Otay%20Mesa%20Detention%20Center%20-%20Final%20%20Report.pdf",,1,1,5,10,10,12,15,15,17,18,20,29,42,42,57,75,84,94,98,105,105,105,106,124,132,133,139,32,33,204,1,,,,,,,,,,,,,,,,,,,,,,
Otero County Processing Center,"26 McGregor Range Rd, Chaparral, NM 88081",32.078368,-106.279978,IGSA,Management and Training Corporation,88081,Doña Ana,New Mexico,213460,144,1,0.67,0.00,1089,823,~900,0,,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,6,6,6,6,10,12,12,12,,,3,,,,,,,,,,,,,,,,,,,,,,,
Pike County Correctional Facility,"175 Pike County Blvd, Hawley, PA 18428",41.388776,-75.071679,IGSA,County Sheriff Department,18428,Pike,Pennsylvania,56591,378,14,6.68,0.25,258,,163,,,"""To prevent the spread of the virus, all inmates and staff members are required to wear face masks, the commissioners said. Every inmate is temperature-checked and assessed by medical staff daily for symptoms. Those quarantined are assessed twice daily and those who have tested positive for COVID-19 are assessed three times a day."" Not the most updated article. ",https://www.njherald.com/news/20200408/2-pike-county-inmates-die-from-covid-19-other-inmates-staff-positive,1,4,5,5,5,5,5,5,6,7,7,11,11,13,13,14,14,16,16,16,16,16,16,18,18,20,20,20,,7,,2,,,,,,,,,,,,,,,,,,,,,,
Pine Prairie ICE Processing Center,"1133 Hampton Dupre Rd, Pine Prairie, LA 70576",30.788073,-92.413408,IGSA,"GEO Group, Inc.",70576,Evangeline,Louisiana,33578,49,1,1.46,0.03,1094,,691,,,,,1,1,1,1,1,1,2,2,2,2,4,9,6,15,15,15,17,17,19,20,21,21,21,25,26,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth County Correctional Facility,"26 Long Pond Rd, Plymouth, MA 02360",41.9318079,-70.65129918,IGSA,County Sheriff Department,"""02360",Plymouth,Massachusetts,501915,5083,285,10.13,0.57,1140,1075,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Isabel Service Processing Center,"27991 Buena Vista Blvd, Los Fresnos, TX 78566",26.155728,-97.338022,SPC,"Ahtna, Inc.",78566,Cameron,Texas,417276,401,17,0.96,0.04,1175,,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Praireland Detention Center
","1209 Sunflower Ln, Alvarado, TX 76009",32.42076823,-97.19670585,IGSA,"LaSalle Management Company, LLC",76009,Johnson,Texas,154707,82,4,0.53,0.03,707,,600,,,"700 people and is operated for ICE by the private firm LaSalle Corrections. Philadelphia attorney Wayne Sachs said three of his clients had been transferred from a county jail to Prairieland and that two had tested positive for COVID-19. Margarita Carcamo, the sister of one of his Nicaraguan clients, said she had spoken to her brother in Prairieland and that he said he wasn’t being segregated and had COVID-19. “The outbreak isn’t surprising given that ICE very recently transferred into [Prairieland] over 80 detainees from COVID-19 hotspots across the U.S.","https://thesouthern.com/news/local/officials-tight-lipped-on-pulaski-county-detention-center-outbreak-as-detainees-fear-for-their-lives/article_b1805d49-6d56-53c6-a650-229ed70aed4f.html, https://www.dallasnews.com/news/public-health/2020/04/27/virus-began-spreading-in-texas-detention-center-as-positive-immigrants-were-quickly-transferred-in-from-northeast/",,,,,,,,,1,3,3,24,28,33,35,35,36,41,41,41,41,41,41,41,41,42,42,43,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulaski County Detention Center,"20 Justice Dr, Ullin, IL 62992",37.269213,-89.165414,IGSA,County ,62992,Pulaski,Illinois,5908,18,0,3.05,0.00,226,,172,,,"First three cases on 4/9. 4/27: Two employees of the detention center carry the virus home, where it gets transferred to more people, who carry it to the grocery store, where it gets transferred to more people, etc., etc. That’s how this happens, folks, even in Pulaski County. ""Detainees, and their advocates, say they are not receiving timely information about outbreaks in the facilities where they are housed, or adequate access to masks, hand sanitizer and cleaning supplies."" ""County officials have sought to tamp down concerns in Pulaski County as they’ve worried over whether news of an outbreak could lead to protests among detainees and immigrant rights’ groups and cost them a lucrative contract with Immigration and Customs Enforcement (ICE). Jail fees bring in more than $8 million annually to the county of fewer than 5,500 people."" -- ""“You know, it’s just, you know, there’s not just a whole lot more we can say at the moment without jeopardizing Pulaski County’s relationship with ICE and the ICE contract. That’s what I just wish everybody would realize,” said Rex Wilburn, Pulaski County Board chairman, after the health department confirmed the first three cases among detainees there on April 9.""",https://capitolfax.com/2020/04/27/covid-19-roundup-28/,,,,,,3,3,3,3,3,3,6,6,7,9,9,9,12,12,12,13,13,13,14,14,14,14,17,,2,,,,,,,,,,,,,,,,,,,,,,,,
Richwood Correctional Center,"180 Pine Bayou Cir, Monroe, LA 71202",32.454868,-92.078353,IGSA,"LaSalle Management Company, LLC",71202,Ouachita,Louisiana,156220,706,16,4.52,0.10,1129,,931,,,,,,,,,,1,1,1,2,2,20,20,27,28,32,32,37,45,46,55,60,60,60,61,63,64,64,64,,,2,2 (staff),,,,,,,,,,,,,,,,,,,,,,
Rio Grande Detention Center,"1001 San Rio Blvd, Laredo, TX 78046",27.378086,-99.48983,USMS IGA,"GEO Group, Inc.",78046,Webb,Texas,262495,363,16,1.38,0.06,1900,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Correctional Center,"26362 LA-15, Ferriday, LA 71334",31.585628,-91.557231,IGSA,"LaSalle Management Company, LLC",71334,Concordia,Louisiana,20442,38,4,1.86,0.20,602,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert A. Deyton Detention Facility,"11866 Hastings Bridge Rd, Lovejoy, GA 30250",33.43384642,-84.3054795,CDF ,GEO Group,30250,Clayton,Georgia,264220,716,30,2.71,0.11,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger D. Wilson Detention Facility,"5001 Maloneyville Rd, Knoxville, TN 37918",36.08504765,-83.84153203,,County,37918,Knox,Tennessee,444622,228,5,0.51,0.01,1036,1245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolling Plains Correctional Facility,"118 Co Rd 206, Haskell, TX 79521",33.1762715,-99.72178917,IGSA,"LaSalle Management Company, LLC",79521,Haskell,Texas,5875,NOT FOUND,NOT FOUND,#VALUE!,#VALUE!,525,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,23,23,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Ana City Jail,"62 Civic Center Plaza, Santa Ana, CA 92701",33.74822,-117.874886,IGSA,,92701,Orange,California,3114363,2421,45,0.78,0.01,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seneca County Jail,"3040 OH-100, Tiffin, OH 44883",41.079831,-83.153342,IGSA,County Sheriff Department,44883,Seneca,Ohio,55914,14,1,0.25,0.02,229,204,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherburne County Jail Services,"13880 Business Ctr Dr NW, Elk River, MN 55330",45.30458935,-93.62709756,USMS IGA,County Sheriff Department,55330,Sherburne,Minnesota,90158,28,0,0.31,0.00,667,579,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Louisiana ICE Processing Center,"3843 E Stagg Ave, Basile, LA 70515",30.48657659,-92.58336608,IGSA,"GEO Group, Inc.",70515,Evangeline,Louisiana,33578,49,1,1.46,0.03,1000,,,,,2 guards die of COVID,https://www.newsweek.com/two-ice-guards-die-after-contracting-coronavirus-cases-detention-facilities-continue-rise-1501179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Texas Family Residential Center,"300 El Rancho Way, Dilley, TX 78017",28.657861,-99.200747,IGSA,"CoreCivic, Inc.",78017,Frio,Texas,18065,7,0,0.39,0.00,2400,,1593,,,Individual housing units of 12 beds (six bunk beds) a piece.,https://cis.org/Arthur/View-Family-Detention-Center-Dilley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Texas ICE Processing Center,"566 Veterans Dr, Pearsall, TX 78061",28.8946514,-99.1219428,CDF,"GEO Group, Inc.",78061,Frio,Texas,18065,7,0,0.39,0.00,1904,,1735,,,,,,,,,,,,,,,,,,,,2,2,5,5,5,6,6,6,7,7,19,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Jail,"1170 Michigan Rd, Port Huron, MI 48060",42.942674,-82.479508,IGSA,County Sheriff Department,48060,St. Clair,Michigan,160469,328,21,2.04,0.13,500,560//330 recently,,,,,https://www.detroitnews.com/story/news/local/michigan/2020/04/23/protesters-release-ice-detainees-monroe-virus/3013327001/,,,1,1,1,2,2,2,3,3,3,3,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Stewart Detention Center,"146 Cca Rd, Lumpkin, GA 31815",32.036793,-84.771502,IGSA,"CoreCivic, Inc.",31815,Stewart,Georgia,5868,24,0,4.09,0.00,1966,,1917,,,"Freedom for Immigrants Detention Hotline (4/23): ""There are 70 people in a room. We have protective gear and access to soap, but it doesn'y matter because the facility is too overcrowded and we are not receving sufficient medical care. [My friend] is showing symptoms of COVID-19 and the guards are only giving him aspirin."" Source - Family on Freedom for Immigrants 4/7: ""When a protest was staged, armed guards were brought in to quell the protests. There is no PPE for anyone detained there. My partner led a protest to at least get food delivered so they did not have to travel between cell blocks. He said the reaction to the flu was much better than this. He and his cellmates are forced to clean their own blocks. Additionally, detainees are refusing to cook as part of the hunger strike so there are delays on food delivery.""",,,,,,2,4,6,6,7,7,7,9,9,9,9,9,9,9,9,10,11,11,11,11,11,11,11,11,,1,4,,,,,,,,,,,,,,,,,,,,,,,
Story County Jail Iowa,"1315 S B Ave, Nevada, IA 50201",42.009888,-93.44177051,USMS IGA,,50201,Story,Iowa,92406,27,1,0.29,0.01,104,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strafford County House of Corrections,"266 County Farm Rd, Dover, NH 03820",43.2192302,-70.93860828,IGSA,County Corrections Office,3820,Strafford,New Hampshire,124593,141,9,1.13,0.07,495,100,N/A,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
Suffolk County House of Corrections,"20 Bradston St, Boston, MA 02118",42.3329215,-71.0709394,IGSA,County Sheriff Department,"""02118",Suffolk,Massachusetts,755503,12890,524,17.06,0.69,2249,1648,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Don Hutto Residential Center,"1001 Welch St, Taylor, TX 76574",30.5649047,-97.41975246,IGSA,CoreCivic,76574,Williamson,Texas,471014,301,9,0.64,0.02,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tacoma Northwest Detention Center,"1623 E J St, Tacoma, WA 98421",47.249093,-122.422408,CDF,"GEO Group, Inc",98421,Pierce,Washington,819743,1436,51,1.75,0.06,1575,,,,,"Hunger strike, inmates spell SOS on pavement to ask for help",https://www.thenewstribune.com/opinion/editorials/article242061361.html,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
